"","POSITION","COMPANY","TICKER","WEIGHT"
"118",118,"PNC Financial Services Group Inc.","PNC",0.00191184
"119",119,"CME Group Inc. Class A","CME",0.00190203
"120",120,"Equinix Inc.","EQIX",0.00188592
"121",121,"Lam Research Corporation","LRCX",0.00186553
"122",122,"Waste Management Inc.","WM",0.00184845
"123",123,"Crown Castle Inc.","CCI",0.0018109
"124",124,"U.S. Bancorp","USB",0.00176563
"125",125,"Norfolk Southern Corporation","NSC",0.00175755
"126",126,"Sherwin-Williams Company","SHW",0.00175262
"127",127,"Emerson Electric Co.","EMR",0.00175256
"128",128,"Intercontinental Exchange Inc.","ICE",0.00174421
"129",129,"General Dynamics Corporation","GD",0.00172706
"130",130,"Micron Technology Inc.","MU",0.0017219
"131",131,"Estee Lauder Companies Inc. Class A","EL",0.00171024
"132",132,"Truist Financial Corporation","TFC",0.00170499
"133",133,"KLA Corporation","KLAC",0.00170425
"134",134,"Dollar General Corporation","DG",0.0017011
"135",135,"Freeport-McMoRan Inc.","FCX",0.00168345
"136",136,"Activision Blizzard Inc.","ATVI",0.00168236
"137",137,"McKesson Corporation","MCK",0.00168136
"138",138,"Marathon Petroleum Corporation","MPC",0.00165519
"139",139,"Pioneer Natural Resources Company","PXD",0.00163243
"140",140,"O'Reilly Automotive Inc.","ORLY",0.00161075
"141",141,"HCA Healthcare Inc","HCA",0.00159832
"142",142,"Archer-Daniels-Midland Company","ADM",0.00159557
"143",143,"General Motors Company","GM",0.00156285
"144",144,"Dominion Energy Inc","D",0.00154477
"145",145,"General Mills Inc.","GIS",0.00154259
"146",146,"Synopsys Inc.","SNPS",0.00154195
"147",147,"Sempra Energy","SRE",0.00153769
"148",148,"Phillips 66","PSX",0.00153328
"149",149,"American Electric Power Company Inc.","AEP",0.00150427
"150",150,"MetLife Inc.","MET",0.00149801
"151",151,"Valero Energy Corporation","VLO",0.00146843
"152",152,"American International Group Inc.","AIG",0.00145818
"153",153,"Centene Corporation","CNC",0.00143093
"154",154,"Kimberly-Clark Corporation","KMB",0.00142346
"155",155,"Edwards Lifesciences Corporation","EW",0.00141937
"156",156,"Amphenol Corporation Class A","APH",0.0014177
"157",157,"Occidental Petroleum Corporation","OXY",0.00141731
"158",158,"AutoZone Inc.","AZO",0.00141415
"159",159,"Ford Motor Company","F",0.00141077
"160",160,"Roper Technologies Inc.","ROP",0.00140694
"161",161,"Public Storage","PSA",0.00138907
"162",162,"Cadence Design Systems Inc.","CDNS",0.00138581
"163",163,"DexCom Inc.","DXCM",0.00137912
"164",164,"Agilent Technologies Inc.","A",0.00137444
"165",165,"Travelers Companies Inc.","TRV",0.0013735
"166",166,"Johnson Controls International plc","JCI",0.00135681
"167",167,"Moody's Corporation","MCO",0.0013507
"168",168,"Motorola Solutions Inc.","MSI",0.00132818
"169",169,"Corteva Inc","CTVA",0.00131663
"170",170,"NXP Semiconductors NV","NXPI",0.0013033
"171",171,"Exelon Corporation","EXC",0.00129902
"172",172,"Biogen Inc.","BIIB",0.00129774
"173",173,"Enphase Energy Inc.","ENPH",0.00127415
"174",174,"Autodesk Inc.","ADSK",0.00126997
"175",175,"Aflac Incorporated","AFL",0.00126552
"176",176,"Marriott International Inc. Class A","MAR",0.00126474
"177",177,"Fidelity National Information Services Inc.","FIS",0.00125526
"178",178,"Ross Stores Inc.","ROST",0.00124484
"179",179,"Sysco Corporation","SYY",0.0012421
"180",180,"Realty Income Corporation","O",0.00123694
"181",181,"Chipotle Mexican Grill Inc.","CMG",0.00123378
"182",182,"FedEx Corporation","FDX",0.00122964
"183",183,"Williams Companies Inc.","WMB",0.00122766
"184",184,"Arthur J. Gallagher & Co.","AJG",0.00122443
"185",185,"L3Harris Technologies Inc","LHX",0.00122407
"186",186,"Microchip Technology Incorporated","MCHP",0.00122143
"187",187,"Trane Technologies plc","TT",0.0012198
"188",188,"Monster Beverage Corporation","MNST",0.0012118
"189",189,"Devon Energy Corporation","DVN",0.00121052
"190",190,"Cintas Corporation","CTAS",0.00118919
"191",191,"Xcel Energy Inc.","XEL",0.00118845
"192",192,"Newmont Corporation","NEM",0.00117422
"193",193,"Simon Property Group Inc.","SPG",0.00117281
"194",194,"Hess Corporation","HES",0.00117014
"195",195,"IQVIA Holdings Inc","IQV",0.00116952
